# ts,saccadeRate
2.495476556979576344e+03,2.600000000000000089e+00
2.500476556979576344e+03,3.600000000000000089e+00
2.505476556979576344e+03,3.600000000000000089e+00
2.510476556979576344e+03,2.399999999999999911e+00
2.515476556979576344e+03,2.600000000000000089e+00
2.520476556979576344e+03,2.399999999999999911e+00
2.525476556979576344e+03,2.400000000000000355e+00
2.530476556979576344e+03,2.000000000000000000e+00
2.535476556979576344e+03,2.600000000000000089e+00
2.540476556979576344e+03,1.799999999999999822e+00
2.545476556979576344e+03,3.399999999999999911e+00
2.550476556979576344e+03,2.399999999999999911e+00
2.555476556979576344e+03,2.200000000000000178e+00
2.560476556979576344e+03,3.000000000000000000e+00
2.565476556979576344e+03,3.400000000000000355e+00
2.570476556979576344e+03,2.799999999999999822e+00
2.575476556979576344e+03,2.200000000000000178e+00
2.580476556979576344e+03,1.799999999999999822e+00
2.585476556979576344e+03,6.000000000000000888e-01
2.590476556979576344e+03,1.000000000000000000e+00
2.595476556979576344e+03,2.400000000000000355e+00
2.600476556979576344e+03,3.000000000000000000e+00
2.605476556979576344e+03,1.399999999999999911e+00
2.610476556979576344e+03,2.399999999999999911e+00
2.615476556979576344e+03,2.000000000000000000e+00
2.620476556979576344e+03,2.799999999999999822e+00
2.625476556979576344e+03,1.799999999999999822e+00
2.630476556979576344e+03,2.800000000000000266e+00
2.635476556979576344e+03,2.399999999999999911e+00
2.640476556979576344e+03,2.200000000000000178e+00
2.645476556979576344e+03,1.799999999999999822e+00
2.650476556979576344e+03,2.200000000000000178e+00
2.655476556979576344e+03,2.000000000000000000e+00
2.660476556979576344e+03,1.800000000000000044e+00
2.665476556979576344e+03,1.399999999999999911e+00
2.670476556979576344e+03,1.399999999999999911e+00
2.675476556979576344e+03,1.199999999999999956e+00
2.680476556979576344e+03,2.000000000000000000e+00
2.685476556979576344e+03,2.000000000000000000e+00
2.690476556979576344e+03,2.599999999999999645e+00
2.695476556979576344e+03,2.000000000000000000e+00
2.700476556979576344e+03,2.799999999999999822e+00
2.705476556979576344e+03,2.799999999999999822e+00
2.710476556979576344e+03,3.200000000000000178e+00
2.715476556979576344e+03,1.799999999999999822e+00
2.720476556979576344e+03,1.600000000000000089e+00
2.725476556979576344e+03,1.800000000000000044e+00
2.730476556979576344e+03,1.600000000000000089e+00
2.735476556979576344e+03,2.000000000000000000e+00
2.740476556979576344e+03,2.599999999999999645e+00
2.745476556979576344e+03,2.600000000000000089e+00
2.750476556979576344e+03,2.799999999999999822e+00
2.755476556979576344e+03,1.199999999999999956e+00
2.760476556979576344e+03,2.799999999999999822e+00
2.765476556979576344e+03,2.399999999999999911e+00
2.770476556979576344e+03,1.599999999999999867e+00
2.775476556979576344e+03,1.199999999999999956e+00
2.780476556979576344e+03,4.400000000000000355e+00
2.785476556979576344e+03,2.200000000000000178e+00
2.790476556979576344e+03,2.799999999999999822e+00
2.795476556979576344e+03,1.399999999999999911e+00
2.800476556979576344e+03,2.400000000000000355e+00
2.805476556979576344e+03,2.000000000000000000e+00
2.810476556979576344e+03,8.000000000000000444e-01
2.815476556979576344e+03,2.200000000000000178e+00
2.820476556979576344e+03,2.399999999999999911e+00
2.825476556979576344e+03,3.400000000000000355e+00
2.830476556979576344e+03,2.399999999999999911e+00
2.835476556979576344e+03,2.799999999999999822e+00
2.840476556979576344e+03,3.000000000000000000e+00
2.845476556979576344e+03,3.799999999999999822e+00
2.850476556979576344e+03,3.399999999999999911e+00
2.855476556979576344e+03,4.000000000000000000e+00
2.860476556979576344e+03,3.200000000000000178e+00
2.865476556979576344e+03,2.600000000000000089e+00
2.870476556979576344e+03,1.600000000000000089e+00
2.875476556979576344e+03,1.399999999999999911e+00
2.880476556979576344e+03,1.799999999999999822e+00
2.885476556979576344e+03,2.399999999999999911e+00
2.890476556979576344e+03,2.599999999999999645e+00
2.895476556979576344e+03,3.000000000000000000e+00
2.900476556979576344e+03,3.600000000000000089e+00
2.905476556979576344e+03,2.799999999999999822e+00
2.910476556979576344e+03,2.599999999999999645e+00
2.915476556979576344e+03,2.799999999999999822e+00
2.920476556979576344e+03,1.800000000000000044e+00
2.925476556979576344e+03,2.600000000000000089e+00
2.930476556979576344e+03,1.799999999999999822e+00
2.935476556979576344e+03,4.400000000000000355e+00
2.940476556979576344e+03,2.799999999999999822e+00
2.945476556979576344e+03,2.399999999999999911e+00
2.950476556979576344e+03,3.200000000000000178e+00
2.955476556979576344e+03,2.200000000000000178e+00
2.960476556979576344e+03,2.000000000000000000e+00
2.965476556979576344e+03,2.000000000000000000e+00
2.970476556979576344e+03,1.799999999999999822e+00
2.975476556979576344e+03,2.399999999999999911e+00
2.980476556979576344e+03,2.600000000000000089e+00
2.985476556979576344e+03,1.000000000000000000e+00
2.990476556979576344e+03,8.000000000000000444e-01
2.995476556979576344e+03,1.799999999999999822e+00
3.000476556979576344e+03,1.199999999999999956e+00
